"","old_name","new_name2"
"105","EDXRF_ba_mdl","na.EDXRF.TF.barium_ba_mdl"
"106","EDXRF_lead_pb","na.EDXRF.TF.lead_pb"
"107","EDXRF_pb_mdl","na.EDXRF.TF.lead_pb_mdl"
"108","EDXRF_cesium_cs","na.EDXRF.TF.cesium_cs"
"109","EDXRF_cerium_cs","na.EDXRF.TF.cerium_cs"
"110","EDXRF_dich_cerium_cs","dich.EDXRF.TF.cerium_cs"
"111","Ions_IC_dich_sodium","dich.IC.na.sodium"
"112","Ions_IC_dich_sodium_mdl","dich.IC.na.sodium_mdl"
"113","Ions_IC_dich_ammonium","dich.IC.na.ammonium"
"114","Ions_IC_dich_ammonium_mdl","dich.IC.na.ammonium_mdl"
"115","Ions_IC_dich_fluoride","dich.IC.na.fluoride"
"116","Ions_IC_dich_fluoride_mdl","dich.IC.na.fluoride_mdl"
"117","Ions_IC_dich_acetate","dich.IC.na.acetate"
"118","Ions_IC_dich_acetate_mdl","dich.IC.na.acetate_mdl"
"119","Ions_IC_dich_formate","dich.IC.na.formate"
"120","Ions_IC_dich_formate_mdl","dich.IC.na.formate_mdl"
"121","Ions_IC_dich_propionate","dich.IC.na.propionate"
"122","Ions_IC_dich_propionate_mdl","dich.IC.na.propionate_mdl"
"123","Ions_IC_dich_msa","dich.IC.na.msa"
"124","Ions_IC_dich_msa_mdl","dich.IC.na.msa_mdl"
"125","Ions_IC_dich_nitrite","dich.IC.na.nitrite"
"126","Ions_IC_dich_nitrite_mdl","dich.IC.na.nitrite_mdl"
"127","Ions_IC_dich_oxalate","dich.IC.na.oxalate"
"128","Ions_IC_dich_oxalate_mdl","dich.IC.na.oxalate_mdl"
"129","Ions_IC_dich_bromide","dich.IC.na.bromide"
"130","Ions_IC_dich_bromide_mdl","dich.IC.na.bromide_mdl"
"131","Ions_IC_dich_phosphate","dich.IC.na.phosphate"
"132","Ions_IC_dich_phosphate_mdl","dich.IC.na.phosphate_mdl"
"133","Ions_IC_dich_lithium","dich.IC.na.lithium"
"134","Ions_IC_dich_lithium_mdl","dich.IC.na.lithium_mdl"
"135","Ions_IC_dich_potassium","dich.IC.na.potassium"
"136","Ions_IC_dich_potassium_mdl","dich.IC.na.potassium_mdl"
"137","Ions_IC_dich_magnesium","dich.IC.na.magnesium"
"138","Ions_IC_dich_magnesium_mdl","dich.IC.na.magnesium_mdl"
"139","Ions_IC_dich_manganese_mn","dich.IC.na.manganese_mn"
"140","Ions_IC_dich_manganese_mdl","dich.IC.na.manganese_mn_mdl"
"141","Ions_IC_dich_calcium","dich.IC.na.calcium"
"142","Ions_IC_dich_calcium_mdl","dich.IC.na.calcium_mdl"
"143","Ions_IC_dich_strontium_sr","dich.IC.na.strontium_sr"
"144","Ions_IC_dich_strontium_mdl","dich.IC.na.strontium_sr_mdl"
"145","Ions_IC_dich_barium_ba","dich.IC.na.barium_ba"
"146","Ions_IC_dich_barium_mdl","dich.IC.na.barium_ba_mdl"
"147","Ions_IC_tf_fluoride","na.IC.TF.fluoride"
"148","Ions_IC_tf_fluoride_mdl","na.IC.TF.fluoride_mdl"
"149","Ions_IC_tf_chloride","na.IC.TF.chloride"
"150","Ions_IC_tf_chloride_mdl","na.IC.TF.chloride_mdl"
"151","Ions_IC_tf_sulphate","na.IC.TF.sulphate"
"152","Ions_IC_tf_sulphate_mdl","na.IC.TF.sulphate_mdl"
"153","Ions_IC_tf_oxalate","na.IC.TF.oxalate"
"154","Ions_IC_tf_oxalate_mdl","na.IC.TF.oxalate_mdl"
"155","Ions_IC_tf_nitrate","na.IC.TF.nitrate"
"156","Ions_IC_tf_nitrate_mdl","na.IC.TF.nitrate_mdl"
"157","Ions_IC_tf_lithium","na.IC.TF.lithium"
